epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0956,1.60574,3.92383,1.25717,0.00384,0.80303,0.13292,0.06696,1.20763,3.43289,0.93618,0.00022,0.00022,0.00022
2,13.6696,1.28043,2.40638,1.08779,0.00464,0.9697,0.21063,0.11506,1.12854,3.36196,0.9653,0.000457723,0.000457723,0.000457723
3,15.9469,1.23383,1.70247,1.05681,0.00478,1,0.11014,0.06241,1.11995,3.34106,0.95088,0.00069307,0.00069307,0.00069307
4,18.2405,1.17881,1.50243,1.04564,0.00471,0.98485,0.12937,0.09496,1.04658,3.23511,0.94883,0.000926041,0.000926041,0.000926041
5,20.4838,1.19094,1.47264,1.05383,0.00471,0.98485,0.343,0.25519,1.15899,3.12363,1.02681,0.00115664,0.00115664,0.00115664
6,22.718,1.2502,1.34521,1.06922,1,0.16955,0.47566,0.32866,1.14183,2.84611,1.02387,0.00138485,0.00138485,0.00138485
7,24.971,1.1993,1.31248,1.04028,0.92945,0.39936,0.80564,0.50498,1.16768,2.39352,1.01825,0.0016107,0.0016107,0.0016107
8,27.1628,1.19232,1.25096,1.02739,0.93286,0.63165,0.88787,0.57699,1.14436,2.0129,1.01161,0.00183416,0.00183416,0.00183416
9,29.4061,1.14491,1.17471,1.02303,0.94503,0.80303,0.92401,0.62692,1.11485,1.738,1.03937,0.0019208,0.0019208,0.0019208
10,31.6034,1.17601,1.09346,1.056,0.75284,0.73847,0.7794,0.46438,1.3859,1.86732,1.14017,0.0019109,0.0019109,0.0019109
11,33.8336,1.24602,1.10699,1.06674,0.94566,0.84848,0.94011,0.61765,1.15497,1.22563,1.04525,0.001901,0.001901,0.001901
12,36.0643,1.15697,1.03398,1.01497,0.96391,0.89394,0.96437,0.66194,1.06934,0.901,0.9994,0.0018911,0.0018911,0.0018911
13,38.3255,1.08115,0.95502,1.00449,0.97849,0.95455,0.97974,0.6574,1.11918,0.876,1.03244,0.0018812,0.0018812,0.0018812
14,40.5223,1.14569,0.9465,1.00941,0.90674,0.88388,0.94539,0.63677,1.12412,1.0167,1.03083,0.0018713,0.0018713,0.0018713
15,42.7138,1.04966,0.89815,1.00574,0.89743,0.95455,0.92733,0.64295,1.04764,0.91013,1.01493,0.0018614,0.0018614,0.0018614
16,44.8925,1.12604,0.86233,1.00338,0.93864,0.92716,0.96813,0.671,1.04242,0.77366,1.02185,0.0018515,0.0018515,0.0018515
17,47.0962,1.07821,0.83033,0.99756,0.90044,0.95923,0.9574,0.64486,1.07898,0.69848,1.01794,0.0018416,0.0018416,0.0018416
18,49.2926,1.131,0.85546,1.02628,0.94782,0.92424,0.97264,0.65185,1.12223,0.70839,1.04926,0.0018317,0.0018317,0.0018317
19,51.4933,1.08012,0.80203,1.00496,0.89471,0.95455,0.93901,0.61056,1.11557,0.73321,1.03164,0.0018218,0.0018218,0.0018218
20,53.6721,1.08858,0.8107,1.01138,0.96954,0.95455,0.98299,0.69499,1.04299,0.74739,1.02562,0.0018119,0.0018119,0.0018119
21,55.8481,1.06703,0.76812,0.99664,0.94077,0.9697,0.97807,0.63941,1.12098,0.71463,1.03172,0.001802,0.001802,0.001802
22,58.0471,1.06878,0.73826,0.99893,0.95032,0.95455,0.9786,0.68106,1.05163,0.63939,1.00849,0.0017921,0.0017921,0.0017921
23,60.2363,1.09754,0.76094,1.01621,0.99793,0.92424,0.98548,0.67267,1.09974,0.61604,1.02563,0.0017822,0.0017822,0.0017822
24,62.4576,1.03349,0.72021,0.99182,0.95421,0.98485,0.9834,0.68715,1.06937,0.68443,1.01247,0.0017723,0.0017723,0.0017723
25,64.6744,0.99421,0.6712,0.96091,0.97888,0.90909,0.9754,0.66379,1.17253,0.62564,1.05688,0.0017624,0.0017624,0.0017624
26,66.9002,1.07309,0.70751,1.00302,0.93961,0.94304,0.97517,0.69228,1.07206,0.61486,1.00436,0.0017525,0.0017525,0.0017525
27,69.1311,1.00156,0.68826,0.96998,0.95288,0.91935,0.98056,0.69326,1.0457,0.59645,1.00086,0.0017426,0.0017426,0.0017426
28,71.2732,1.02747,0.67749,0.97049,0.95404,0.94367,0.9889,0.70389,1.05117,0.59463,0.99586,0.0017327,0.0017327,0.0017327
29,73.4902,1.02809,0.66524,0.98033,0.97302,0.93939,0.98652,0.69907,1.05205,0.60991,0.99624,0.0017228,0.0017228,0.0017228
30,75.6838,1.01517,0.66383,0.9813,0.9789,0.89394,0.96122,0.66947,1.10722,0.62637,1.02509,0.0017129,0.0017129,0.0017129
31,77.8452,0.97237,0.6341,0.97485,0.9696,0.96664,0.9909,0.70007,1.02856,0.56723,0.99038,0.001703,0.001703,0.001703
32,79.9914,1.02913,0.62163,0.97276,0.97051,0.99717,0.98929,0.69485,1.04076,0.54578,0.99001,0.0016931,0.0016931,0.0016931
33,82.1384,1.03857,0.62054,0.9841,0.96687,0.98485,0.99121,0.70329,1.05803,0.59269,1.00787,0.0016832,0.0016832,0.0016832
34,84.2863,1.01136,0.60179,0.95846,0.88666,0.98485,0.97921,0.70347,1.03011,0.55991,0.99129,0.0016733,0.0016733,0.0016733
35,86.4562,1.03064,0.61408,0.97355,0.98631,0.80303,0.92864,0.66073,1.03978,0.68341,1.01056,0.0016634,0.0016634,0.0016634
36,88.6608,1.03908,0.63496,0.9897,1,0.93163,0.99049,0.68607,1.09641,0.59168,1.01402,0.0016535,0.0016535,0.0016535
37,90.869,1.0133,0.60412,0.96128,0.98506,0.99931,0.99485,0.70745,1.03623,0.53475,1.00018,0.0016436,0.0016436,0.0016436
38,93.0775,1.0008,0.59195,0.98128,0.91151,0.98485,0.98747,0.69536,1.04602,0.57034,0.99406,0.0016337,0.0016337,0.0016337
39,95.3214,1.02486,0.59428,0.96049,0.91336,0.92424,0.96537,0.66971,1.08958,0.62765,1.00666,0.0016238,0.0016238,0.0016238
40,97.4679,1.01064,0.60947,0.96454,0.9825,0.93939,0.991,0.65699,1.1992,0.59355,1.05527,0.0016139,0.0016139,0.0016139
41,99.635,0.97552,0.57223,0.96569,0.9553,0.98485,0.99252,0.69212,1.10314,0.53478,1.01028,0.001604,0.001604,0.001604
42,101.748,0.93517,0.55586,0.95391,0.97931,0.95455,0.99284,0.68146,1.09029,0.57564,1.01093,0.0015941,0.0015941,0.0015941
43,103.939,0.9623,0.58373,0.95424,0.98434,0.95242,0.99087,0.69647,1.03218,0.60193,0.98971,0.0015842,0.0015842,0.0015842
44,106.263,0.99069,0.56094,0.96426,0.95222,0.98485,0.99101,0.68907,1.0389,0.53752,1.00547,0.0015743,0.0015743,0.0015743
45,108.43,0.94085,0.56964,0.95968,0.95614,0.99086,0.99289,0.70885,1.02683,0.52223,0.99918,0.0015644,0.0015644,0.0015644
46,110.589,0.89642,0.53924,0.95746,0.95226,1,0.99199,0.67616,1.08244,0.54752,1.02166,0.0015545,0.0015545,0.0015545
47,112.738,0.94981,0.56616,0.95127,0.96854,0.9697,0.99103,0.70049,1.00835,0.53777,0.98497,0.0015446,0.0015446,0.0015446
48,114.874,0.93818,0.54798,0.95406,0.98801,0.95455,0.9896,0.711,1.01803,0.53768,0.98397,0.0015347,0.0015347,0.0015347
49,117.088,0.91217,0.52841,0.93233,0.96438,0.98485,0.98559,0.70211,1.03589,0.54981,1.00119,0.0015248,0.0015248,0.0015248
50,119.291,0.94007,0.53008,0.95174,0.96741,0.98485,0.99022,0.69491,1.08417,0.54755,1.01536,0.0015149,0.0015149,0.0015149
51,121.529,0.93773,0.53252,0.9697,0.97521,0.9697,0.98992,0.71243,1.05481,0.54296,1.00545,0.001505,0.001505,0.001505
52,123.77,0.93832,0.53622,0.94169,0.94197,0.98371,0.98996,0.71463,1.01228,0.51667,0.9951,0.0014951,0.0014951,0.0014951
53,125.902,0.92392,0.52592,0.94657,0.98324,0.89394,0.98454,0.68555,1.05778,0.53776,1.03054,0.0014852,0.0014852,0.0014852
54,128.041,0.93749,0.52584,0.95436,0.95519,1,0.99249,0.715,1.02578,0.49897,1.00244,0.0014753,0.0014753,0.0014753
55,130.19,0.91184,0.51518,0.94444,0.95611,0.99032,0.99277,0.71515,1.00558,0.51485,1.00709,0.0014654,0.0014654,0.0014654
56,132.388,0.92377,0.52184,0.95584,0.97726,0.98485,0.99341,0.7228,1.01054,0.49834,1.00515,0.0014555,0.0014555,0.0014555
57,134.582,0.90142,0.5113,0.95147,0.99829,0.98485,0.9943,0.72994,1.05448,0.51403,1.00512,0.0014456,0.0014456,0.0014456
58,136.744,0.88024,0.51707,0.9198,0.89903,0.98485,0.97854,0.72734,1.00158,0.60175,0.97744,0.0014357,0.0014357,0.0014357
59,138.913,0.93991,0.53316,0.961,0.92517,0.92424,0.9846,0.71424,1.04421,0.55623,0.99689,0.0014258,0.0014258,0.0014258
60,141.097,0.94793,0.54121,0.94514,0.94245,0.9697,0.99018,0.71424,1.06266,0.53948,0.99762,0.0014159,0.0014159,0.0014159
61,143.258,0.8901,0.50402,0.91492,0.96032,0.9697,0.99169,0.7158,1.02863,0.53762,0.99502,0.001406,0.001406,0.001406
62,145.481,0.88746,0.49916,0.94762,0.96954,0.96454,0.99097,0.71239,1.05711,0.50931,1.00903,0.0013961,0.0013961,0.0013961
63,147.723,0.90116,0.50343,0.9325,0.99042,0.93939,0.99133,0.71356,1.08528,0.52538,1.01856,0.0013862,0.0013862,0.0013862
64,149.936,0.90439,0.50876,0.94381,0.97847,0.93939,0.99053,0.69751,1.11452,0.5075,1.03196,0.0013763,0.0013763,0.0013763
65,152.141,0.93029,0.50608,0.95516,0.95485,0.96137,0.99032,0.71846,1.02949,0.5057,0.9938,0.0013664,0.0013664,0.0013664
66,154.362,0.90446,0.49899,0.92135,0.97924,0.98485,0.99371,0.69517,1.12577,0.55784,1.03615,0.0013565,0.0013565,0.0013565
67,156.529,0.91455,0.49587,0.95146,0.95423,0.98485,0.99155,0.69386,1.07644,0.52526,1.01819,0.0013466,0.0013466,0.0013466
68,158.728,0.89177,0.49191,0.91613,0.99687,0.9697,0.99338,0.71009,1.07444,0.50029,1.0089,0.0013367,0.0013367,0.0013367
69,160.956,0.9082,0.49362,0.92492,1,0.97972,0.99417,0.71588,1.04085,0.47327,1.00069,0.0013268,0.0013268,0.0013268
70,163.167,0.86027,0.47727,0.91863,0.99698,0.95455,0.99313,0.70493,1.06789,0.48032,1.00449,0.0013169,0.0013169,0.0013169
71,165.366,0.87387,0.475,0.92471,1,0.92039,0.98144,0.69968,1.03039,0.50117,1.00068,0.001307,0.001307,0.001307
72,167.535,0.86836,0.46516,0.92081,1,0.93806,0.96828,0.68951,1.05224,0.5424,1.01113,0.0012971,0.0012971,0.0012971
73,169.697,0.84551,0.46804,0.92767,0.98118,0.93939,0.9772,0.6955,1.01679,0.52174,1.00321,0.0012872,0.0012872,0.0012872
74,171.882,0.87605,0.47515,0.9334,0.95331,0.92823,0.98735,0.70882,1.06822,0.52091,1.0179,0.0012773,0.0012773,0.0012773
75,174.201,0.88318,0.48741,0.95112,0.9535,0.93219,0.98594,0.70559,1.07002,0.52133,1.01264,0.0012674,0.0012674,0.0012674
76,176.421,0.84566,0.46476,0.91351,0.98425,0.94688,0.98971,0.72157,1.07093,0.52283,1.02446,0.0012575,0.0012575,0.0012575
77,178.662,0.86616,0.48299,0.9292,0.96094,0.9697,0.99292,0.69819,1.13637,0.50576,1.03559,0.0012476,0.0012476,0.0012476
78,180.866,0.81763,0.46885,0.91127,0.97046,1,0.9938,0.72258,1.03693,0.47092,1.00593,0.0012377,0.0012377,0.0012377
79,183.089,0.81626,0.45809,0.90726,0.92671,1,0.99178,0.70441,1.02749,0.48418,0.99894,0.0012278,0.0012278,0.0012278
80,185.326,0.84843,0.47426,0.93186,0.98418,0.93939,0.99018,0.68841,1.09063,0.53399,1.01271,0.0012179,0.0012179,0.0012179
81,187.58,0.7967,0.45565,0.89866,0.99752,0.95455,0.98879,0.71336,1.04828,0.50944,1.00436,0.001208,0.001208,0.001208
82,189.778,0.81496,0.4528,0.91143,0.96906,0.94924,0.98863,0.6949,1.10079,0.47488,1.03038,0.0011981,0.0011981,0.0011981
83,192.002,0.82031,0.45537,0.90357,0.94453,0.98485,0.99155,0.71941,1.08188,0.47548,1.01399,0.0011882,0.0011882,0.0011882
84,194.201,0.78132,0.46125,0.90845,0.98132,0.93939,0.98564,0.72347,1.04273,0.46204,0.99977,0.0011783,0.0011783,0.0011783
85,196.396,0.84872,0.45477,0.91053,0.98034,0.95455,0.99029,0.71429,1.05817,0.4993,1.00736,0.0011684,0.0011684,0.0011684
86,198.594,0.84413,0.46405,0.91011,0.96455,0.9697,0.98938,0.71128,1.05326,0.49659,1.00004,0.0011585,0.0011585,0.0011585
87,200.813,0.82785,0.46005,0.90123,0.98256,0.95455,0.98578,0.71113,1.10034,0.51924,1.02455,0.0011486,0.0011486,0.0011486
88,203.109,0.81047,0.45734,0.90805,0.98253,0.95455,0.98067,0.71757,1.05244,0.502,0.99455,0.0011387,0.0011387,0.0011387
89,205.369,0.81807,0.45181,0.90574,0.99434,0.92424,0.97564,0.70965,1.0703,0.52874,1.01365,0.0011288,0.0011288,0.0011288
90,207.54,0.83154,0.46375,0.90387,0.99728,0.93939,0.97313,0.69186,1.07506,0.52951,1.01071,0.0011189,0.0011189,0.0011189
91,209.758,0.84713,0.46916,0.91349,0.98866,0.95455,0.99256,0.72877,1.082,0.47219,1.02279,0.001109,0.001109,0.001109
92,211.917,0.82313,0.44793,0.9048,0.98261,0.9697,0.99397,0.72838,1.07498,0.46795,1.00846,0.0010991,0.0010991,0.0010991
93,214.137,0.83623,0.4577,0.90095,0.97048,0.99638,0.99382,0.72197,1.01122,0.46039,1.00314,0.0010892,0.0010892,0.0010892
94,216.323,0.8192,0.44699,0.91624,0.95632,0.99527,0.99223,0.72463,1.04996,0.47751,1.00431,0.0010793,0.0010793,0.0010793
95,218.47,0.78602,0.43237,0.90341,0.9506,0.98485,0.9914,0.72021,1.06484,0.48465,1.01432,0.0010694,0.0010694,0.0010694
96,220.657,0.8205,0.45311,0.91266,0.95296,0.95455,0.98914,0.7217,1.06016,0.4864,1.01466,0.0010595,0.0010595,0.0010595
97,222.799,0.754,0.4355,0.90737,0.94201,0.98456,0.9894,0.71058,1.05404,0.47549,1.01655,0.0010496,0.0010496,0.0010496
98,224.981,0.77791,0.44099,0.90567,0.95604,0.9886,0.99275,0.71175,1.06303,0.48629,1.01178,0.0010397,0.0010397,0.0010397
